Far field
"Theta"[deg]	"FarField1 [m^2]"	
4.30000000E+01	5.88250515E-05	
4.40000000E+01	5.66189169E-05	
4.50000000E+01	5.44307943E-05	
4.60000000E+01	5.22632607E-05	
4.70000000E+01	5.01187932E-05	
4.80000000E+01	4.79997683E-05	
4.90000000E+01	4.59084598E-05	
5.00000000E+01	4.38470392E-05	
5.10000000E+01	4.18175751E-05	
5.20000000E+01	3.98220331E-05	
5.30000000E+01	3.78622773E-05	
5.40000000E+01	3.59400706E-05	
5.50000000E+01	3.40570763E-05	
5.60000000E+01	3.22148599E-05	
5.70000000E+01	3.04148909E-05	
5.80000000E+01	2.86585450E-05	
5.90000000E+01	2.69471070E-05	
6.00000000E+01	2.52817732E-05	
6.10000000E+01	2.36636541E-05	
6.20000000E+01	2.20937782E-05	
6.30000000E+01	2.05730948E-05	
6.40000000E+01	1.91024772E-05	
6.50000000E+01	1.76827267E-05	
6.60000000E+01	1.63145757E-05	
6.70000000E+01	1.49986916E-05	
6.80000000E+01	1.37356802E-05	
6.90000000E+01	1.25260897E-05	
7.00000000E+01	1.13704138E-05	
7.10000000E+01	1.02690959E-05	
7.20000000E+01	9.22253194E-06	
7.30000000E+01	8.23107467E-06	
7.40000000E+01	7.29503642E-06	
7.50000000E+01	6.41469269E-06	
7.60000000E+01	5.59028520E-06	
7.70000000E+01	4.82202498E-06	
7.80000000E+01	4.11009526E-06	
7.90000000E+01	3.45465417E-06	
8.00000000E+01	2.85583738E-06	
8.10000000E+01	2.31376045E-06	
8.20000000E+01	1.82852107E-06	
8.30000000E+01	1.40020111E-06	
8.40000000E+01	1.02886838E-06	
8.50000000E+01	7.14578364E-07	
8.60000000E+01	4.57375544E-07	
8.70000000E+01	2.57294672E-07	
8.80000000E+01	1.14361740E-07	
8.90000000E+01	2.85947639E-08	
9.00000000E+01	4.33416219E-12	
