Far field
"Theta"[deg]	"FarField1 [m^2]"	
-3.50000000E+01	5.11896207E-05	
-3.40000000E+01	5.27509773E-05	
-3.30000000E+01	5.43068537E-05	
-3.20000000E+01	5.58547448E-05	
-3.10000000E+01	5.73920979E-05	
-3.00000000E+01	5.89163188E-05	
-2.90000000E+01	6.04247784E-05	
-2.80000000E+01	6.19148191E-05	
-2.70000000E+01	6.33837623E-05	
-2.60000000E+01	6.48289162E-05	
-2.50000000E+01	6.62475827E-05	
-2.40000000E+01	6.76370666E-05	
-2.30000000E+01	6.89946831E-05	
-2.20000000E+01	7.03177668E-05	
-2.10000000E+01	7.16036801E-05	
-2.00000000E+01	7.28498222E-05	
-1.90000000E+01	7.40536379E-05	
-1.80000000E+01	7.52126266E-05	
-1.70000000E+01	7.63243511E-05	
-1.60000000E+01	7.73864462E-05	
-1.50000000E+01	7.83966278E-05	
-1.40000000E+01	7.93527013E-05	
-1.30000000E+01	8.02525695E-05	
-1.20000000E+01	8.10942414E-05	
-1.10000000E+01	8.18758392E-05	
-1.00000000E+01	8.25956061E-05	
-9.00000000E+00	8.32519131E-05	
-8.00000000E+00	8.38432656E-05	
-7.00000000E+00	8.43683093E-05	
-6.00000000E+00	8.48258358E-05	
-5.00000000E+00	8.52147876E-05	
-4.00000000E+00	8.55342624E-05	
-3.00000000E+00	8.57835166E-05	
-2.00000000E+00	8.59619687E-05	
-1.00000000E+00	8.60692017E-05	
0.00000000E+00	8.61049646E-05	
1.00000000E+00	8.60691736E-05	
2.00000000E+00	8.59619125E-05	
3.00000000E+00	8.57834322E-05	
4.00000000E+00	8.55341500E-05	
5.00000000E+00	8.52146473E-05	
6.00000000E+00	8.48256676E-05	
7.00000000E+00	8.43681133E-05	
8.00000000E+00	8.38430421E-05	
9.00000000E+00	8.32516622E-05	
1.00000000E+01	8.25953282E-05	
1.10000000E+01	8.18755346E-05	
1.20000000E+01	8.10939105E-05	
1.30000000E+01	8.02522128E-05	
1.40000000E+01	7.93523194E-05	
1.50000000E+01	7.83962214E-05	
1.60000000E+01	7.73860160E-05	
1.70000000E+01	7.63238980E-05	
1.80000000E+01	7.52121516E-05	
1.90000000E+01	7.40531420E-05	
2.00000000E+01	7.28493065E-05	
2.10000000E+01	7.16031460E-05	
2.20000000E+01	7.03172156E-05	
2.30000000E+01	6.89941163E-05	
2.40000000E+01	6.76364856E-05	
2.50000000E+01	6.62469891E-05	
2.60000000E+01	6.48283116E-05	
2.70000000E+01	6.33831484E-05	
2.80000000E+01	6.19141974E-05	
2.90000000E+01	6.04241507E-05	
3.00000000E+01	5.89156868E-05	
3.10000000E+01	5.73914632E-05	
3.20000000E+01	5.58541091E-05	
3.30000000E+01	5.43062186E-05	
3.40000000E+01	5.27503443E-05	
3.50000000E+01	5.11889913E-05	
3.60000000E+01	4.96246115E-05	
3.70000000E+01	4.80595985E-05	
3.80000000E+01	4.64962828E-05	
3.90000000E+01	4.49369276E-05	
4.00000000E+01	4.33837250E-05	
4.10000000E+01	4.18387927E-05	
4.20000000E+01	4.03041707E-05	
4.30000000E+01	3.87818196E-05	
4.40000000E+01	3.72736178E-05	
4.50000000E+01	3.57813606E-05	
4.60000000E+01	3.43067588E-05	
4.70000000E+01	3.28514378E-05	
4.80000000E+01	3.14169379E-05	
4.90000000E+01	3.00047134E-05	
5.00000000E+01	2.86161342E-05	
5.10000000E+01	2.72524855E-05	
5.20000000E+01	2.59149697E-05	
5.30000000E+01	2.46047074E-05	
5.40000000E+01	2.33227392E-05	
5.50000000E+01	2.20700276E-05	
5.60000000E+01	2.08474592E-05	
5.70000000E+01	1.96558472E-05	
5.80000000E+01	1.84959339E-05	
5.90000000E+01	1.73683933E-05	
6.00000000E+01	1.62738343E-05	
6.10000000E+01	1.52128033E-05	
6.20000000E+01	1.41857880E-05	
6.30000000E+01	1.31932198E-05	
6.40000000E+01	1.22354776E-05	
6.50000000E+01	1.13128909E-05	
6.60000000E+01	1.04257430E-05	
6.70000000E+01	9.57427471E-06	
6.80000000E+01	8.75868726E-06	
6.90000000E+01	7.97914579E-06	
7.00000000E+01	7.23578251E-06	
7.10000000E+01	6.52869992E-06	
7.20000000E+01	5.85797390E-06	
7.30000000E+01	5.22365673E-06	
7.40000000E+01	4.62578001E-06	
7.50000000E+01	4.06435750E-06	
7.60000000E+01	3.53938783E-06	
7.70000000E+01	3.05085705E-06	
7.80000000E+01	2.59874112E-06	
7.90000000E+01	2.18300818E-06	
8.00000000E+01	1.80362074E-06	
8.10000000E+01	1.46053768E-06	
8.20000000E+01	1.15371610E-06	
8.30000000E+01	8.83113029E-07	
8.40000000E+01	6.48686901E-07	
8.50000000E+01	4.50398947E-07	
8.60000000E+01	2.88214358E-07	
8.70000000E+01	1.62103283E-07	
8.80000000E+01	7.20416524E-08	
8.90000000E+01	1.80118165E-08	
9.00000000E+01	3.00612674E-12	
